"";"user_id";"reading_index";"part_id";"duration"
"1";"User_1";"1";1059094;1622
"294";"User_1";"10";1057409;14
"295";"User_1";"11";1057443;6
"296";"User_1";"12";1057502;20
"297";"User_1";"13";1057569;1
"298";"User_1";"14";1057615;NA
"1011";"User_1";"15";1057615;1
"1012";"User_1";"16";1057569;NA
"7072";"User_1";"17";1056980;3
"7073";"User_1";"18";1057023;NA
"33";"User_1";"2";1059094;243
"34";"User_1";"3";1056980;2
"35";"User_1";"4";1057023;NA
"178";"User_1";"5";1057409;264
"181";"User_1";"6";1057443;532
"185";"User_1";"7";1057502;NA
"244";"User_1";"8";1059094;2
"245";"User_1";"9";1059159;NA
"51";"User_10";"1";1057569;2
"52";"User_10";"2";1057615;NA
"709";"User_100";"1";1057253;2
"710";"User_100";"2";1057300;1
"711";"User_100";"3";1057363;132
"712";"User_100";"4";1057409;1
"713";"User_100";"5";1057443;2
"714";"User_100";"6";1057502;29
"715";"User_100";"7";1057569;NA
"13028";"User_1000";"1";1056764;69
"13029";"User_1000";"2";1056793;73
"13031";"User_1000";"3";1056865;NA
"13035";"User_1001";"1";1057569;2
"13036";"User_1001";"2";1057615;NA
"13060";"User_1002";"1";1056764;6
"13069";"User_1002";"10";1057824;10
"13070";"User_1002";"11";1059094;1
"13071";"User_1002";"12";1059159;9
"13072";"User_1002";"13";1056764;NA
"13061";"User_1002";"2";1056793;698
"13062";"User_1002";"3";1056980;2
"13063";"User_1002";"4";1057023;1
"13064";"User_1002";"5";1057074;1
"13065";"User_1002";"6";1057141;12
"13066";"User_1002";"7";1057409;5
"13067";"User_1002";"8";1057671;2
"13068";"User_1002";"9";1057759;1
"13073";"User_1003";"1";1057253;NA
"13104";"User_1004";"1";1057569;3
"13105";"User_1004";"2";1059159;1
"13106";"User_1004";"3";1059094;859
"13109";"User_1004";"4";1059094;1
"13110";"User_1004";"5";1059159;1824
"13114";"User_1004";"6";1059159;1
"13115";"User_1004";"7";1059094;NA
"13116";"User_1005";"1";1056764;4
"13140";"User_1005";"10";1057074;66
"13141";"User_1005";"11";1057141;NA
"13187";"User_1005";"12";1056980;910
"13191";"User_1005";"13";1057179;NA
"13258";"User_1005";"14";1056764;4
"13259";"User_1005";"15";1056793;3
"13260";"User_1005";"16";1056865;41
"13261";"User_1005";"17";1056980;133
"13262";"User_1005";"18";1057023;NA
"13117";"User_1005";"2";1056793;126
"13119";"User_1005";"3";1056909;18
"13121";"User_1005";"4";1056909;148
"13124";"User_1005";"5";1056928;11
"13126";"User_1005";"6";1056945;7
"13127";"User_1005";"7";1056955;39
"13128";"User_1005";"8";1056980;5
"13129";"User_1005";"9";1057023;1126
"13118";"User_1006";"1";1056764;128
"13139";"User_1006";"10";1057569;NA
"13120";"User_1006";"2";1056793;163
"13125";"User_1006";"3";1056865;139
"13130";"User_1006";"4";1056909;4
"13131";"User_1006";"5";1056928;8
"13132";"User_1006";"6";1056945;21
"13133";"User_1006";"7";1056955;11
"13134";"User_1006";"8";1056980;120
"13135";"User_1006";"9";1057023;122
"13147";"User_1007";"1";1056909;NA
"16193";"User_1007";"2";1056909;NA
"13148";"User_1008";"1";1056764;9
"13149";"User_1008";"2";1057671;2
"13150";"User_1008";"3";1057759;NA
"15805";"User_1008";"4";1057671;NA
"15879";"User_1008";"5";1057671;5
"15880";"User_1008";"6";1057759;NA
"19552";"User_1008";"7";1057409;159
"19553";"User_1008";"8";1057443;1
"19554";"User_1008";"9";1057502;NA
"13151";"User_1009";"1";1057569;5
"13152";"User_1009";"2";1057615;NA
"723";"User_101";"1";1057253;36
"732";"User_101";"10";1057179;5
"733";"User_101";"11";1056980;5
"734";"User_101";"12";1057023;42
"735";"User_101";"13";1057074;290
"737";"User_101";"14";1056909;45
"738";"User_101";"15";1056928;17
"740";"User_101";"16";1056945;27
"741";"User_101";"17";1056955;14
"742";"User_101";"18";1056980;2
"743";"User_101";"19";1057023;180
"724";"User_101";"2";1057300;16
"745";"User_101";"20";1057074;25
"746";"User_101";"21";1057141;283
"749";"User_101";"22";1056909;7
"750";"User_101";"23";1057253;1
"751";"User_101";"24";1057363;2
"752";"User_101";"25";1057300;76
"753";"User_101";"26";1057409;15
"754";"User_101";"27";1057671;38
"755";"User_101";"28";1057759;56
"756";"User_101";"29";1057824;NA
"725";"User_101";"3";1057363;10
"726";"User_101";"4";1057409;23
"727";"User_101";"5";1057443;3
"728";"User_101";"6";1057502;165
"729";"User_101";"7";1057253;2
"730";"User_101";"8";1057300;2
"731";"User_101";"9";1057363;2
"13153";"User_1010";"1";1056909;NA
"13514";"User_1010";"10";1057023;1088
"13521";"User_1010";"11";1057253;32
"13522";"User_1010";"12";1057300;49
"13523";"User_1010";"13";1057363;687
"13530";"User_1010";"14";1056764;2
"13531";"User_1010";"15";1056793;2
"13532";"User_1010";"16";1056865;64
"13534";"User_1010";"17";1056909;2
"13535";"User_1010";"18";1056928;1
"13536";"User_1010";"19";1056945;1
"13173";"User_1010";"2";1056928;20
"13537";"User_1010";"20";1056955;30
"13538";"User_1010";"21";1056980;40
"13539";"User_1010";"22";1057023;NA
"13175";"User_1010";"3";1056945;1
"13176";"User_1010";"4";1056955;NA
"13509";"User_1010";"5";1056909;1
"13510";"User_1010";"6";1056928;1
"13511";"User_1010";"7";1056945;1
"13512";"User_1010";"8";1056955;14
"13513";"User_1010";"9";1056980;2
"13154";"User_1011";"1";1056764;NA
"13188";"User_1012";"1";1056764;2
"13189";"User_1012";"2";1056793;1
"13190";"User_1012";"3";1056865;NA
"13192";"User_1013";"1";1056764;490
"13194";"User_1013";"2";1056865;NA
"13248";"User_1013";"3";1056865;NA
"13204";"User_1014";"1";1056764;88
"13205";"User_1014";"2";1056793;135
"13206";"User_1014";"3";1056865;NA
"14036";"User_1014";"4";1056764;2
"14037";"User_1014";"5";1056793;NA
"13229";"User_1015";"1";1057179;1
"13238";"User_1015";"10";1057569;10
"13239";"User_1015";"11";1057759;1
"13240";"User_1015";"12";1057671;7
"13241";"User_1015";"13";1057824;NA
"13230";"User_1015";"2";1057199;211
