"";"id";"part_index";"parent_id";"title";"type";"course_id";"obsels";"max.duration";"size";"nb_img";"vid_length";"Readers"
"1";2766951;0;0;"Animez une communauté Twitter";"course";2766951;0;NA;0;0;0;1559
"2";2768491;0;3174093;"Twitter, un réseau social parmi tant d'autres";"title-3";2766951;0;NA;0;0;0;0
"3";2777208;0;3174093;"Pourquoi Twitter ?";"title-3";2766951;0;NA;0;0;0;0
"4";2785906;7;3174126;"Mesurez votre ampleur avec Twitter Analytics";"title-2";2766951;0;1230,8;1125;1;0;727
"5";2785918;0;2785906;"Le taux d'engagement";"title-3";2766951;0;NA;0;0;0;0
"6";2785924;0;2785906;"Autres indicateurs";"title-3";2766951;0;NA;0;0;0;0
"7";2794568;0;3174106;"Utilisez les hashtags";"title-3";2766951;0;NA;0;0;0;0
"8";2795118;0;3174106;"Quand tweeter ?";"title-3";2766951;0;NA;0;0;0;0
"9";3127036;0;3174116;"Pourquoi et comment générer un buzz ?";"title-3";2766951;0;NA;0;0;0;0
"10";3135919;0;3174116;"Gérez un bad buzz";"title-3";2766951;0;NA;0;0;0;0
"11";3135933;0;2785906;"Autres outils";"title-3";2766951;0;NA;0;0;0;0
"12";3139453;0;3174112;"Créez votre communauté";"title-3";2766951;0;NA;0;0;0;0
"13";3141063;0;3174112;"Développez votre communauté";"title-3";2766951;0;NA;0;0;0;0
"14";3141991;0;3174098;"Choisissez votre nom d'utilisateur";"title-3";2766951;0;NA;0;0;0;0
"15";3142038;0;3174123;"La gestion du compte";"title-3";2766951;0;NA;0;0;0;0
"16";3142043;0;3174123;"Le comportement vis-à-vis des autres";"title-3";2766951;0;NA;0;0;0;0
"17";3143512;0;3174123;"En résumé";"title-3";2766951;0;NA;0;0;0;0
"18";3144591;8;3174126;"Gérez un compte de support";"title-2";2766951;0;541,4;730;0;0;644
"19";3144601;0;3144591;"Pourquoi utiliser un compte support ?";"title-3";2766951;0;NA;0;0;0;0
"20";3144605;0;3144591;"Comment utiliser un compte support ?";"title-3";2766951;0;NA;0;0;0;0
"21";3174093;1;3174107;"Qu’est-ce que Twitter ?";"title-2";2766951;0;1089,6;1807;0;0;1153
"22";3174097;0;3174098;"Gérez votre image de marque";"title-3";2766951;0;NA;0;0;0;0
"23";3174098;2;3174107;"Préparez votre profil";"title-2";2766951;0;617,5;716;2;0;978
"24";3174106;3;3174107;"Rédigez vos premiers tweets";"title-2";2766951;0;913,4;1460;3;0;961
"25";3174107;-1;2766951;"Démarrez avec Twitter";"title-1";2766951;0;NA;0;0;0;0
"26";3174112;4;3174124;"Créez, modérez et développez votre communauté";"title-2";2766951;0;1449,2;2160;1;0;973
"27";3174116;5;3174124;"Maîtrisez les buzz";"title-2";2766951;0;830,2;985;1;0;827
"28";3174122;0;3174123;"Les messages";"title-3";2766951;0;NA;0;0;0;0
"29";3174123;6;3174124;"Évitez les impairs";"title-2";2766951;0;1213,5;766;2;0;759
"30";3174124;-2;2766951;"Administrez votre compte Twitter";"title-1";2766951;0;NA;0;0;0;0
"31";3174125;9;3174126;"Servez-vous des outils externes";"title-2";2766951;0;1183,5;1564;0;0;662
"32";3174126;-3;2766951;"Utilisez Twitter de façon professionnelle";"title-1";2766951;0;NA;0;0;0;0
"33";3192327;0;3174125;"Hootsuite : gérez tous vos réseaux à la fois !";"title-3";2766951;0;NA;0;0;0;0
"34";3192330;0;3174125;"IFTTT : programmez des actions automatiques";"title-3";2766951;0;NA;0;0;0;0
"35";3192332;0;3174125;"Des outils alternatifs";"title-3";2766951;0;NA;0;0;0;0
"36";3281015;0;2785906;"Le nombre d'impressions";"title-3";2766951;0;NA;0;0;0;0
"37";3281202;0;3174125;"Conclusion";"title-3";2766951;0;NA;0;0;0;0
"38";3331520;0;3174106;"Que peut-on mettre dans un tweet ?";"title-3";2766951;0;NA;0;0;0;0
"39";3331523;0;3174106;"Discutez avec les mentions";"title-3";2766951;0;NA;0;0;0;0
"40";3662142;0;3174093;"Comprendre Twitter";"title-3";2766951;0;NA;0;0;0;0
"41";3662211;0;3144591;"Tutoyer, vouvoyer ?";"title-3";2766951;0;NA;0;0;0;0
"42";3878365;0;3174112;"Animez votre communauté";"title-3";2766951;0;NA;0;0;0;0
"43";3878368;0;3174112;"En résumé";"title-3";2766951;0;NA;0;0;0;0
