,id,part_id,parent_id,title,type,slug,element_id,course_id,size,nb_img,vid_length
1,0,3013711,0,Développez une application mobile multi-plateforme avec Ionic,course,developpez-une-application-mobile-multi-plateforme-avec-ionic,6958178,3013711,0,0,0
2,-99,3411286,3013711,Familiarisez-vous avec Ionic et son environnement,title-1,decouvrez-ionic,6447126,3013711,0,0,0
3,1,3657046,3411286,Qu'est-ce que Ionic ?,title-2,qu-est-ce-que-ionic,6418075,3013711,674,1,391
4,2,3688277,3657046,Plusieurs types d'applications mobiles,title-3,,6418046,3013711,0,0,0
5,3,3688285,3657046,Concepts de Ionic,title-3,,6418074,3013711,0,0,0
6,4,3657051,3411286,Installez et configurez votre environnement,title-2,installer-et-configurer-son-environnement,6447125,3013711,504,3,0
7,5,3690321,3657051,Installation de l'environnement,title-3,,6447080,3013711,0,0,0
8,6,3690362,3657051,Android,title-3,,6447124,3013711,0,0,0
9,7,3690451,3657051,iOS,title-3,,6378899,3013711,0,0,0
10,8,3657056,3411286,Maîtrisez la ligne de commande,title-2,maitriser-la-ligne-de-commande,6418138,3013711,558,4,442
11,9,3688670,3657056,Création d'un nouveau projet,title-3,,6418114,3013711,0,0,0
12,10,3690621,3657056,Test,title-3,,6418089,3013711,0,0,0
13,11,3691403,3657056,Run / Emulate,title-3,,6418134,3013711,0,0,0
14,12,3691406,3657056,Icône et splashscreen,title-3,,6418137,3013711,0,0,0
15,13,3657061,3411286,Organisez un projet,title-2,presentation-de-l-organisation-d-un-projet,6418152,3013711,1235,0,380
16,14,3860377,3657061,Création d'un nouveau projet,title-3,,6407293,3013711,0,0,0
17,15,3860380,3657061,Arborescence du projet,title-3,,6407247,3013711,0,0,0
18,16,3867535,3657061,Les fichiers de configuration,title-3,,6407299,3013711,0,0,0
19,17,3867540,3657061,Dossiers créés par Ionic,title-3,,6407268,3013711,0,0,0
20,18,3867699,3657061,Où est définie notre application ?,title-3,,6407302,3013711,0,0,0
21,-99,3657071,3013711,Créez votre première app,title-1,decouvrez-l-ecosysteme-ionic,6442716,3013711,0,0,0
22,19,3657091,3657071,C'est parti pour créer une application !,title-2,presentation-du-projet-5,6418172,3013711,215,2,137
23,20,3900537,3657091,Rôle de l'application,title-3,,6418164,3013711,0,0,0
24,21,3900551,3657091,Démarrage de l'application,title-3,,6418166,3013711,0,0,0
25,22,3657096,3657071,Ce qu'il faut connaître au sujet d'AngularJS,title-2,ce-qu-il-faut-connaitre-au-sujet-d-angularjs,6418212,3013711,756,4,351
26,23,3900614,3657096,La théorie,title-3,,6418200,3013711,0,0,0
27,24,3657101,3657071,Les composants,title-2,les-composants-3,6418242,3013711,726,3,239
28,25,3902851,3657101,Les conteneurs - ion-content,title-3,,6418226,3013711,0,0,0
29,26,3902862,3657101,Les listes - ion-list,title-3,,6418231,3013711,0,0,0
30,27,3902870,3657101,Les onglets - ion-tabs,title-3,,6418235,3013711,0,0,0
31,28,3657106,3657071,Les services,title-2,les-services-5,6442715,3013711,858,4,345
32,29,3902940,3657106,Affichage d’un écran modal - $ionicModal,title-3,,6442701,3013711,0,0,0
33,30,3902959,3657106,Affichage d’une fenêtre pop-up - $ionicPopup,title-3,,6442714,3013711,0,0,0
34,31,3902968,3657106,Récupération des informations de ionic - ionic.Platform,title-3,,6401326,3013711,0,0,0
35,32,3657111,3657071,Les styles et les icônes,title-2,les-styles-et-les-icones,6418602,3013711,919,9,350
36,33,3903050,3657111,Changez le style de la barre d’onglet,title-3,,6418570,3013711,0,0,0
37,34,3903072,3657111,Ajoutez une icône à la liste de l’onglet Account,title-3,,6418573,3013711,0,0,0
38,35,3903095,3657111,Modifiez les cards de l’écran Test,title-3,,6397135,3013711,0,0,0
39,-99,3657076,3013711,Créez une app de météo interactive,title-1,creez-votre-premier-projet,6958177,3013711,0,0,0
40,36,3657116,3657076,Démarrez votre app météo,title-2,demarrage-du-projet,6418622,3013711,690,3,258
41,37,3902126,3657116,Rôle de l’application,title-3,,6401272,3013711,0,0,0
42,38,3902144,3657116,Design,title-3,,6397155,3013711,0,0,0
43,39,3902148,3657116,Fonctionnement de l’application,title-3,,6401277,3013711,0,0,0
44,40,3902151,3657116,Utilisation de l’API OpenWeatherMap,title-3,,6401279,3013711,0,0,0
45,41,3902157,3657116,Création de l’application,title-3,,6401287,3013711,0,0,0
46,42,3657121,3657076,Créez votre premier écran,title-2,premier-ecran,6418655,3013711,256,1,107
47,43,3902252,3657121,Définition de l'écran,title-3,,6418639,3013711,0,0,0
48,44,3902256,3657121,Construction de l'écran,title-3,,6418654,3013711,0,0,0
49,45,3657126,3657076,Reliez l'application à un service web,title-2,mettre-de-l-action-dans-l-application,6958176,3013711,480,0,232
50,46,3902355,3657126,Déclenchement de l'action par un clic sur le bouton ,title-3,,6408706,3013711,0,0,0
51,47,3902360,3657126,Déclenchement de l'action par validation du champ de saisie,title-3,,6958175,3013711,0,0,0
52,48,3657131,3657076,Personnalisez vos écrans,title-2,ajouter-son-propre-style,6418712,3013711,390,3,243
53,49,3902389,3657131,Utilisation d'une image de fond,title-3,,6418686,3013711,0,0,0
54,50,3902397,3657131,Modification de la couleur du texte,title-3,,6418689,3013711,0,0,0
55,51,3902399,3657131,Définition des styles utilisés pour l'affichage des éléments de résultat,title-3,,6418704,3013711,0,0,0
56,52,3657136,3657076,Testez et débuggez votre app,title-2,tester-et-debugger,6418732,3013711,584,4,242
